wavelength,flux
4852.3374,181787640000000.0
4852.343,181770770000000.0
4852.3477,181753870000000.0
4852.353,181737000000000.0
4852.358,181720100000000.0
4852.363,181703200000000.0
4852.368,181700000000000.0
4852.373,181700000000000.0
4852.3784,181700000000000.0
4852.3833,181700000000000.0
4852.3887,181700000000000.0
4852.3936,181700000000000.0
4852.399,181700000000000.0
4852.404,181700000000000.0
4852.4087,181700000000000.0
4852.414,181700000000000.0
4852.419,181700000000000.0
4852.4243,181700000000000.0
4852.429,181700000000000.0
4852.4346,181700000000000.0
4852.4395,181700000000000.0
4852.445,181700000000000.0
4852.4497,181700000000000.0
4852.4546,181700000000000.0
4852.46,181700000000000.0
4852.465,181700000000000.0
4852.47,181700000000000.0
4852.475,181700000000000.0
4852.4805,181700000000000.0
4852.4854,181700000000000.0
4852.4907,181700000000000.0
4852.4956,181700000000000.0
4852.5005,181700000000000.0
4852.506,181700000000000.0
4852.5107,181700000000000.0
4852.516,181700000000000.0
4852.521,181700000000000.0
4852.5264,181700000000000.0
4852.5312,181700000000000.0
4852.5366,181700000000000.0
4852.5415,181700000000000.0
4852.5464,181700000000000.0
4852.552,181700000000000.0
4852.5566,181700000000000.0
4852.562,181700000000000.0
4852.567,181700000000000.0
4852.5723,181700000000000.0
4852.577,181700000000000.0
4852.5825,181700000000000.0
4852.5874,181700000000000.0
4852.593,181700000000000.0
4852.5977,181700000000000.0
4852.6025,181700000000000.0
4852.608,181700000000000.0
4852.613,181700000000000.0
4852.618,181700000000000.0
4852.623,181700000000000.0
4852.6284,181700000000000.0
4852.6333,181700000000000.0
4852.6387,181700000000000.0
4852.6436,181682840000000.0
4852.6484,181656550000000.0
4852.654,181630260000000.0
4852.6587,181603970000000.0
4852.664,181600000000000.0
4852.669,181600000000000.0
4852.6743,181600000000000.0
4852.679,181600000000000.0
4852.6846,181600000000000.0
4852.6895,181600000000000.0
4852.6943,181600000000000.0
4852.6997,181600000000000.0
4852.7046,181600000000000.0
4852.71,181600000000000.0
4852.715,181600000000000.0
4852.72,181600000000000.0
4852.725,181600000000000.0
4852.7305,181600000000000.0
4852.7354,181600000000000.0
4852.74,181600000000000.0
4852.7456,181600000000000.0
4852.7505,181600000000000.0
4852.756,181600000000000.0
4852.7607,181600000000000.0
4852.766,181600000000000.0
4852.771,181600000000000.0
4852.7764,181600000000000.0
4852.7812,181600000000000.0
4852.786,181600000000000.0
4852.7915,181600000000000.0
4852.7964,181600000000000.0
4852.802,181600000000000.0
4852.8066,181600000000000.0
4852.812,181600000000000.0
4852.817,181600000000000.0
4852.8223,181600000000000.0
4852.827,181600000000000.0
4852.832,181600000000000.0
4852.8374,181600000000000.0
4852.8423,181600000000000.0
4852.8477,181600000000000.0
4852.8525,181600000000000.0
4852.858,181600000000000.0
4852.863,181600000000000.0
4852.868,181600000000000.0
4852.873,181600000000000.0
4852.878,181600000000000.0
4852.8833,181600000000000.0
4852.888,181600000000000.0
4852.8936,181600000000000.0
4852.8984,181600000000000.0
4852.904,181600000000000.0
4852.9087,181590280000000.0
4852.914,181566990000000.0
4852.919,181543700000000.0
4852.924,181520420000000.0
4852.929,181500000000000.0
4852.934,181500000000000.0
4852.9395,181500000000000.0
4852.9443,181500000000000.0
4852.9497,181500000000000.0
4852.9546,181500000000000.0
4852.96,181500000000000.0
4852.965,181500000000000.0
4852.9697,181500000000000.0
4852.975,181500000000000.0
4852.98,181500000000000.0
4852.9854,181500000000000.0
4852.99,181500000000000.0
4852.9956,181500000000000.0
4853.0005,181500000000000.0
4853.006,181500000000000.0
4853.0107,181500000000000.0
4853.0156,181500000000000.0
4853.021,181500000000000.0
4853.026,181500000000000.0
4853.0312,181500000000000.0
4853.036,181500000000000.0
4853.0415,181500000000000.0
4853.0464,181500000000000.0
4853.052,181500000000000.0
4853.0566,181500000000000.0
4853.0615,181500000000000.0
