element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,2,"=""5112.818""","=""0.003""","=""5112.8132""","=""0.0008""","=""5""","=""""",,"=""102802.353""","=""122355.608""","=""3d6.(5D).6s""","=""4D""","=""5/2""","=""3d6.(3P2<2>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5112.917""","=""0.003""","=""5112.9136""","=""0.0013""","=""6bl(Fe I)""","=""""",,"=""103874.261""","=""123427.132""","=""3d6.(3H).4d""","=""4H""","=""9/2""","=""3d6.(3H<4>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L18349c139""",
Fe,1,"=""5112.917""","=""0.004""","=""5112.9163""","=""0.0008""","=""105""","=""""",,"=""39969.853""","=""59522.714""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.4s.(4D).4d""","=""3F""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""5112.9992""","=""0.0004""","=""5112.99889""","=""0.00024""","=""400""","=""1.26e+07""",C+,"=""83812.352""","=""103364.897""","=""3d6.(5D).4d""","=""6D""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""5113.1255""","=""0.0013""","=""5113.1270""","=""0.0003""","=""10""","=""""",,"=""21856.9287""","=""41408.9840""","=""3d5.(4P).4s""","=""a 5P""","=""1""","=""3d4.(5D).4s.4p.(1P*)""","=""y 5D*""","=""2""",,"=""""","=""L14866""",
Fe,2,"=""5115.0615""","=""0.0003""","=""5115.0612""","=""0.0003""","=""500""","=""4.0e+07""",C+,"=""84131.624""","=""103676.286""","=""3d6.(5D).4d""","=""6D""","=""1/2""","=""3d6.(5D<2>).4f""","=""2[1]*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""5115.7778""","=""0.0008""","=""5115.7768""","=""0.0004""","=""427""","=""5.8e+04""",E,"=""28819.954""","=""48361.882""","=""3d7.(2H).4s""","=""a 1H""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""y 5H*""","=""4""",,"=""T2578n""","=""L11631""",
Fe,2,"=""5116.402""","=""0.005""","=""5116.4072""","=""0.0003""","=""14""","=""""",,"=""87985.667""","=""107525.187""","=""3d6.(5D).4d""","=""4P""","=""5/2""","=""3d6.(5D).6p""","=""6P*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5117.0311""","=""0.0003""","=""5117.0311""","=""0.0003""","=""1300""","=""5.8e+07""",B+,"=""84131.624""","=""103668.762""","=""3d6.(5D).4d""","=""6D""","=""1/2""","=""3d6.(5D<2>).4f""","=""2[1]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5118.396""","=""0.003""","=""5118.3981""","=""0.0006""","=""7""","=""""",,"=""103706.526""","=""123238.446""","=""3d6.(3H).4d""","=""4K""","=""15/2""","=""3d6.(3H<5>).4f""","=""2[7]*""","=""15/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5118.490""","=""0.002""","=""5118.4953""","=""0.0003""","=""90""","=""""",,"=""65931.358""","=""85462.907""","=""3d6.(3G).4p""","=""x 4G*""","=""7/2""","=""3d6.(5D).4d""","=""e 4G""","=""7/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5118.682""","=""0.003""","=""5118.6819""","=""0.0003""","=""50""","=""1.2e+06""",D+,"=""84326.967""","=""103857.804""","=""3d6.(5D).4d""","=""6P""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5119.3338""","=""0.0005""","=""5119.33460""","=""0.00024""","=""310""","=""6.8e+06""",C+,"=""83812.352""","=""103340.699""","=""3d6.(5D).4d""","=""6D""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""5119.46""","=""0.03""","=""5119.4746""","=""0.0008""","=""10""","=""""",,"=""28682.2050""","=""48210.018""","=""3d5.(4D).4s""","=""a 3D""","=""2""","=""3d4.(3F1).4s.4p.(3P*)""","=""3D*""","=""1""",,"=""""","=""L808""",
Fe,2,"=""5121.1009""","=""0.0016""","=""5121.0974""","=""0.0004""","=""10""","=""""",,"=""104107.939""","=""123629.564""","=""3d6.(3P2).4d""","=""4F""","=""7/2""","=""3d6.(3P2<1>).4f""","=""2[4]*""","=""9/2""",,"=""""","=""L18349c139""",
Fe,1,"=""5121.6388""","=""0.0008""","=""5121.6386""","=""0.0004""","=""1700""","=""7.9e+06""",D,"=""34547.211""","=""54066.773""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""f 3D""","=""2""",,"=""T2491n""","=""L11631""",
Fe,2,"=""5121.8687""","=""0.0013""","=""5121.8690""","=""0.0010""","=""16""","=""""",,"=""103751.672""","=""123270.356""","=""3d6.(3H).4d""","=""4H""","=""11/2""","=""3d6.(3H<5>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L18349c139""",
Fe,1,"=""5121.973""","=""0.005""","=""5121.9659""","=""0.0004""","=""20""","=""""",,"=""28604.613""","=""48122.928""","=""3d7.(2D2).4s""","=""a 1D""","=""2""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""5122.027""","=""0.004""","=""5122.0281""","=""0.0013""","=""3.6""","=""""",,"=""108537.623""","=""128055.701""","=""3d6.(3G).4d""","=""4G""","=""7/2""","=""3d6.(3G<3>).4f""","=""2[5]*""","=""9/2""",,"=""""","=""L18349c139""",
Cr,1,"=""5122.116""","=""0.004""","=""5122.1153""","=""0.0004""","=""30""","=""""",,"=""8307.5753""","=""27825.3207""","=""3d4.4s2""","=""a 5D""","=""4""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""5""",,"=""""","=""L9190""",
Cr,1,"=""5122.770""","=""0.02""","=""5122.7651""","=""0.0008""","=""18""","=""""",,"=""27163.1052""","=""46678.375""","=""3d5.(4P).4s""","=""b 3P""","=""0""","=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""1""",,"=""""","=""L808""",
Fe,2,"=""5123.1444""","=""0.0018""","=""5123.1449""","=""0.0008""","=""8""","=""""",,"=""103921.637""","=""123435.460""","=""3d6.(3H).4d""","=""4G""","=""7/2""","=""3d6.(3H<4>).4f""","=""2[5]*""","=""9/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5123.1922""","=""0.0006""","=""5123.1906""","=""0.0004""","=""600bl(Fe II)*""","=""1.5e+05""",D,"=""62125.604""","=""81639.253""","=""3d6.(3P2).4p""","=""z 2D*""","=""3/2""","=""3d5.4s2""","=""2F2""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""5123.1922""","=""0.0006""","=""5123.1951""","=""0.0003""","=""600bl(Fe II)*""","=""2.5e+05""",D,"=""84131.624""","=""103645.256""","=""3d6.(5D).4d""","=""6D""","=""1/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""5123.1922""","=""0.0006""","=""5123.2011""","=""0.0006""","=""600bl(Fe II)*""","=""""",,"=""103921.637""","=""123435.246""","=""3d6.(3H).4d""","=""4G""","=""7/2""","=""3d6.(3H<4>).4f""","=""2[4]*""","=""7/2""",,"=""""","=""L18349c148""",
Fe,1,"=""5123.280""","=""0.004""","=""5123.2788""","=""0.0004""","=""89""","=""""",,"=""35611.625""","=""55124.938""","=""3d7.(4F).4p""","=""z 5G*""","=""3""","=""3d7.(4F).4d""","=""f 3F""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""5123.4327""","=""0.0009""","=""5123.4330""","=""0.0004""","=""22""","=""""",,"=""103706.526""","=""123219.252""","=""3d6.(3H).4d""","=""4K""","=""15/2""","=""3d6.(3H<5>).4f""","=""2[8]*""","=""17/2""",,"=""""","=""L18349c139""",
Cr,1,"=""5123.4603""","=""0.0003""","=""5123.46021""","=""0.00016""","=""88""","=""4.0e+04""",D,"=""8307.5753""","=""27820.1975""","=""3d4.4s2""","=""a 5D""","=""4""","=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""3""",,"=""T4288""","=""L14866""",
Fe,1,"=""5123.7196""","=""0.0008""","=""5123.7197""","=""0.0004""","=""15100""","=""7.24e+04""",A,"=""8154.714""","=""27666.348""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""1""",,"=""T3548""","=""L11631""",
Fe,1,"=""5124.6195""","=""0.0021""","=""5124.6187""","=""0.0006""","=""195""","=""""",,"=""26627.609""","=""46135.820""","=""3d7.(2H).4s""","=""b 3H""","=""4""","=""3d6.(3H).4s.4p.(3P*)""","=""z 3I*""","=""5""",,"=""""","=""L11631""",
Fe,1,"=""5125.1168""","=""0.0008""","=""5125.1163""","=""0.0004""","=""8300""","=""""",,"=""34039.516""","=""53545.833""","=""3d7.(4F).4p""","=""y 5F*""","=""4""","=""3d7.(4F).4d""","=""h 5D""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""5125.834""","=""0.004""","=""5125.8361""","=""0.0006""","=""200""","=""""",,"=""33412.717""","=""52916.295""","=""3d8""","=""c 3F""","=""3""","=""3d7.(2D2).4p""","=""v 3P*""","=""2""",,"=""""","=""L11631""",
Cr,1,"=""5126.168""","=""0.02""","=""5126.1805""","=""0.0008""","=""10""","=""""",,"=""27176.1072""","=""46678.375""","=""3d5.(4P).4s""","=""b 3P""","=""1""","=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""1""",,"=""""","=""L808""",
Fe,2,"=""5126.1927""","=""0.0002""","=""5126.1869""","=""0.0003""","=""3100bl(Fe I)""","=""""",,"=""25787.5816""","=""45289.8248""","=""3d6.(3P2).4s""","=""b 2P""","=""3/2""","=""3d6.(5D).4p""","=""z 4F*""","=""3/2""",,"=""""","=""L18349c148""",
Fe,1,"=""5126.193""","=""0.005""","=""5126.1922""","=""0.0004""","=""1290bl""","=""3.2e+06""",E,"=""34328.752""","=""53830.975""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""g 5F""","=""3""",,"=""T2578n""","=""L11631""",
Cr,1,"=""5126.500""","=""0.004""","=""5126.4990""","=""0.0004""","=""15""","=""""",,"=""27176.1072""","=""46677.1634""","=""3d5.(4P).4s""","=""b 3P""","=""1""","=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""2""",,"=""""","=""L9190""",
Fe,2,"=""5126.827""","=""0.007""","=""5126.8274""","=""0.0016""","=""4""","=""""",,"=""103751.672""","=""123251.479""","=""3d6.(3H).4d""","=""4H""","=""11/2""","=""3d6.(3H<5>).4f""","=""2[6]*""","=""11/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5127.3068""","=""0.0012""","=""5127.3067""","=""0.0008""","=""19""","=""""",,"=""103751.672""","=""123249.656""","=""3d6.(3H).4d""","=""4H""","=""11/2""","=""3d6.(3H<5>).4f""","=""2[6]*""","=""13/2""",,"=""""","=""L18349c139""",
Fe,1,"=""5127.3590""","=""0.0008""","=""5127.3588""","=""0.0004""","=""13500""","=""1.14e+04""",A,"=""7376.764""","=""26874.550""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""5""",,"=""T3548""","=""L11631""",
Fe,1,"=""5127.6793""","=""0.0021""","=""5127.6807""","=""0.0004""","=""191""","=""3.80e+01""",A,"=""415.933""","=""19912.495""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""2""",,"=""T3547""","=""L11631""",
Fe,2,"=""5128.4625""","=""0.0020""","=""5128.4640""","=""0.0008""","=""7""","=""""",,"=""108577.597""","=""128071.181""","=""3d6.(3G).4d""","=""4H""","=""9/2""","=""3d6.(3G<3>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5128.753""","=""0.002""","=""5128.7627""","=""0.0003""","=""120""","=""3.2e+06""",D+,"=""83459.721""","=""102952.170""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<4>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c145""",
Ti,2,"=""5129.1563""","=""0.0005""","=""5129.1562""","=""0.0003""","=""180""","=""1.46e+06""",B+,"=""15257.5527""","=""34748.5062""","=""3d2.(1G).4s""","=""b 2G""","=""9/2""","=""3d2.(3F).4p""","=""z 2G*""","=""9/2""",,"=""T7385""","=""u37""",
Cr,1,"=""5129.575""","=""0.002""","=""5129.57457""","=""0.00021""","=""4""","=""""",,"=""7810.7795""","=""27300.1433""","=""3d4.4s2""","=""a 5D""","=""1""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""1""",,"=""""","=""L14866""",
Fe,1,"=""5129.6305""","=""0.0008""","=""5129.6311""","=""0.0004""","=""417""","=""5.5e+05""",E,"=""31805.071""","=""51294.220""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""3""",,"=""T2578n""","=""L11631""",
Fe,2,"=""5130.0089""","=""0.0017""","=""5130.0128""","=""0.0003""","=""220""","=""""",,"=""62151.554""","=""81639.253""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""","=""3d5.4s2""","=""2F2""","=""5/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5130.1696""","=""0.0006""","=""5130.1684""","=""0.0013""","=""60bl(Fe II)*""","=""""",,"=""108387.934""","=""127875.042""","=""3d6.(3G).4d""","=""4H""","=""11/2""","=""3d6.(3G<4>).4f""","=""2[6]*""","=""13/2""",,"=""""","=""L18349c148""",
Fe,2,"=""5130.1696""","=""0.0006""","=""5130.173""","=""0.008""","=""60bl(Fe II)*""","=""""",,"=""93395.407""","=""112882.497""","=""3d6.(3F1).4p""","=""u 4F*""","=""5/2""","=""3d5.(6S).4p2""","=""6P""","=""5/2""",,"=""""","=""L18349c148""",
Fe,2,"=""5130.611""","=""0.003""","=""5130.6160""","=""0.0004""","=""31""","=""""",,"=""89128.569""","=""108613.977""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""7/2""","=""3d6.(3G).4d""","=""4G""","=""5/2""",,"=""""","=""L18349c139""",
Fe,1,"=""5131.4684""","=""0.0008""","=""5131.4679""","=""0.0004""","=""1380""","=""2.58e+05""",D+,"=""17927.382""","=""37409.555""","=""3d7.(4P).4s""","=""a 5P""","=""1""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""1""",,"=""T5720""","=""L11631""",
Fe,2,"=""5131.7051""","=""0.0016""","=""5131.7055""","=""0.0016""","=""7""","=""""",,"=""108387.934""","=""127869.205""","=""3d6.(3G).4d""","=""4H""","=""11/2""","=""3d6.(3G<4>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5132.003""","=""0.003""","=""5132.0042""","=""0.0016""","=""6""","=""""",,"=""103771.342""","=""123251.479""","=""3d6.(3H).4d""","=""4G""","=""9/2""","=""3d6.(3H<5>).4f""","=""2[6]*""","=""11/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5132.538""","=""0.004""","=""5132.5399""","=""0.0013""","=""2.7""","=""""",,"=""108577.597""","=""128055.701""","=""3d6.(3G).4d""","=""4H""","=""9/2""","=""3d6.(3G<3>).4f""","=""2[5]*""","=""9/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5132.6462""","=""0.0014""","=""5132.6416""","=""0.0013""","=""26bl(Fe II)*""","=""""",,"=""93129.879""","=""112607.597""","=""3d6.(3F1).4p""","=""4D*""","=""7/2""","=""3d6.(5D).7s""","=""6D""","=""7/2""",,"=""""","=""L18349c148""",
Fe,2,"=""5132.6462""","=""0.0014""","=""5132.6469""","=""0.0016""","=""26bl(Fe II)*""","=""""",,"=""108391.507""","=""127869.205""","=""3d6.(3G).4d""","=""4G""","=""9/2""","=""3d6.(3G<4>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L18349c148""",
Fe,2,"=""""","=""""","=""5132.66137""","=""0.00016""","=""""","=""2.0e+03""",E,"=""22637.1950""","=""42114.8380""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(5D).4p""","=""z 6F*""","=""9/2""",,"=""T6892c83""","=""""",
Fe,1,"=""5133.6882""","=""0.0008""","=""5133.6877""","=""0.0004""","=""20900""","=""""",,"=""33695.397""","=""53169.146""","=""3d7.(4F).4p""","=""y 5F*""","=""5""","=""3d7.(4F).4d""","=""f 5G""","=""6""",,"=""""","=""L11631""",
Fe,2,"=""5135.371""","=""0.012""","=""5135.3839""","=""0.0006""","=""2.9""","=""""",,"=""103973.782""","=""123441.099""","=""3d6.(3H).4d""","=""4K""","=""11/2""","=""3d6.(3H<4>).4f""","=""2[6]*""","=""11/2""",,"=""""","=""L18349c139""",
Cr,1,"=""5135.66""","=""0.03""","=""5135.6993""","=""0.0005""","=""10""","=""""",,"=""24833.7957""","=""44299.9171""","=""3d5.(4G).4s""","=""a 3G""","=""3""","=""3d4.(3F1).4s.4p.(3P*)""","=""y 5G*""","=""2""",,"=""""","=""L808""",
Cr,1,"=""5135.917""","=""0.004""","=""5135.9201""","=""0.0003""","=""2""","=""""",,"=""27222.9417""","=""46688.2265""","=""3d5.(4P).4s""","=""b 3P""","=""2""","=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""3""",,"=""""","=""L14866""",
Fe,1,"=""5136.093""","=""0.004""","=""5136.0915""","=""0.0006""","=""151""","=""6.8e+05""",E,"=""33765.306""","=""53229.941""","=""3d8""","=""c 3F""","=""2""","=""3d7.(2D2).4p""","=""v 3P*""","=""1""",,"=""T2578n""","=""L11631""",
Fe,2,"=""5136.788""","=""0.015""","=""5136.79519""","=""0.00021""","=""12""","=""3.e+03""",E,"=""22939.3512""","=""42401.3198""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(5D).4p""","=""z 6F*""","=""3/2""",,"=""T6892c83""","=""L7357""",
Fe,1,"=""5137.3818""","=""0.0008""","=""5137.3814""","=""0.0004""","=""6900""","=""1.0e+07""",D,"=""33695.397""","=""53155.145""","=""3d7.(4F).4p""","=""y 5F*""","=""5""","=""3d7.(4F).4d""","=""h 5D""","=""4""",,"=""T2491n""","=""L11631""",
Cr,1,"=""5137.931""","=""0.002""","=""5137.9310""","=""0.0003""","=""4""","=""""",,"=""27597.2409""","=""47054.9072""","=""3d4.4s2""","=""b 3G""","=""3""","=""3d5.(4G).4p""","=""y 3G*""","=""4""",,"=""""","=""L14866""",
Cr,1,"=""5138.7065""","=""0.0013""","=""5138.70572""","=""0.00021""","=""13""","=""""",,"=""7927.4410""","=""27382.1739""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""2""",,"=""""","=""L14866""",
Cr,1,"=""5138.86""","=""0.06""","=""5138.8408""","=""0.0004""","=""10w""","=""""",,"=""27222.9417""","=""46677.1634""","=""3d5.(4P).4s""","=""b 3P""","=""2""","=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""2""",,"=""""","=""L808""",
Fe,2,"=""5139.071""","=""0.005""","=""5139.0710""","=""0.0013""","=""4""","=""""",,"=""103973.782""","=""123427.132""","=""3d6.(3H).4d""","=""4K""","=""11/2""","=""3d6.(3H<4>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L18349c139""",
Fe,1,"=""5139.2511""","=""0.0008""","=""5139.2504""","=""0.0004""","=""22400""","=""9.16e+06""",B+,"=""24180.862""","=""43633.533""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""2""",,"=""T5720""","=""L11631""",
Fe,1,"=""5139.4625""","=""0.0008""","=""5139.4620""","=""0.0004""","=""45700""","=""8.69e+06""",B+,"=""23711.456""","=""43163.326""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""4""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""4""",,"=""T5720""","=""L11631""",
Cr,1,"=""5139.6457""","=""0.0005""","=""5139.6456""","=""0.0004""","=""75""","=""1.3e+07""",D,"=""27597.2409""","=""47048.4161""","=""3d4.4s2""","=""b 3G""","=""3""","=""3d5.(4G).4p""","=""y 3G*""","=""3""",,"=""T1621n""","=""L14866""",
Fe,2,"=""5140.182""","=""0.004""","=""5140.1882""","=""0.0008""","=""6""","=""""",,"=""103986.338""","=""123435.460""","=""3d6.(3H).4d""","=""4H""","=""7/2""","=""3d6.(3H<4>).4f""","=""2[5]*""","=""9/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5140.249""","=""0.005""","=""5140.2448""","=""0.0006""","=""4""","=""""",,"=""103986.338""","=""123435.246""","=""3d6.(3H).4d""","=""4H""","=""7/2""","=""3d6.(3H<4>).4f""","=""2[4]*""","=""7/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5140.6902""","=""0.0006""","=""5140.6907""","=""0.0004""","=""260""","=""8.e+06""",D+,"=""83990.106""","=""103437.327""","=""3d6.(5D).4d""","=""6D""","=""3/2""","=""3d6.(5D<3>).4f""","=""2[1]*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5140.820""","=""0.003""","=""5140.8263""","=""0.0008""","=""7""","=""""",,"=""103983.496""","=""123430.204""","=""3d6.(3G).5s""","=""e 2G""","=""7/2""","=""3d6.(3H<4>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5141.3768""","=""0.0005""","=""5141.3773""","=""0.0003""","=""280""","=""1.1e+07""",D+,"=""84424.422""","=""103869.046""","=""3d6.(5D).4d""","=""6P""","=""3/2""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5141.564""","=""0.013""","=""5141.5777""","=""0.0008""","=""2.9""","=""""",,"=""103986.338""","=""123430.204""","=""3d6.(3H).4d""","=""4H""","=""7/2""","=""3d6.(3H<4>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,1,"=""5141.7387""","=""0.0008""","=""5141.7385""","=""0.0004""","=""2820""","=""4.86e+05""",D,"=""19552.478""","=""38995.736""","=""3d6.4s2""","=""a 3P2""","=""1""","=""3d7.(4F).4p""","=""y 3D*""","=""1""",,"=""T5720""","=""L11631""",
Cr,1,"=""5142.262""","=""0.002""","=""5142.2620""","=""0.0004""","=""4""","=""""",,"=""21847.8349""","=""41289.1133""","=""3d5.(4P).4s""","=""a 5P""","=""2""","=""3d4.(5D).4s.4p.(1P*)""","=""y 5D*""","=""1""",,"=""""","=""L14866""",
Fe,2,"=""5142.350""","=""0.006""","=""5142.3463""","=""0.0008""","=""9bl(Fe II)*""","=""""",,"=""86767.614""","=""106208.574""","=""3d6.(3P1).4p""","=""v 4D*""","=""5/2""","=""3d6.(3F2).4d""","=""2F""","=""5/2""",,"=""""","=""L18349c148""",
Fe,2,"=""5142.350""","=""0.006""","=""5142.3481""","=""0.0005""","=""9bl(Fe II)*""","=""""",,"=""103973.782""","=""123414.735""","=""3d6.(3H).4d""","=""4K""","=""11/2""","=""3d6.(3H<4>).4f""","=""2[7]*""","=""13/2""",,"=""""","=""L18349c148""",
Fe,1,"=""5142.4938""","=""0.0008""","=""5142.4936""","=""0.0004""","=""1000""","=""""",,"=""34692.148""","=""54132.551""","=""3d7.(4F).4p""","=""y 5F*""","=""1""","=""3d7.(4F).4d""","=""h 5D""","=""1""",,"=""""","=""L11631""",
Fe,1,"=""5142.5409""","=""0.0008""","=""5142.5402""","=""0.0004""","=""3890""","=""""",,"=""34328.752""","=""53768.979""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""f 5G""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""5142.9282""","=""0.0008""","=""5142.9283""","=""0.0004""","=""15800""","=""2.40e+04""",D+,"=""7728.060""","=""27166.820""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""4""",,"=""T5720""","=""L11631""",
Fe,1,"=""5143.7234""","=""0.0021""","=""5143.7226""","=""0.0004""","=""102""","=""7.3e+03""",E,"=""17726.988""","=""37162.746""","=""3d7.(4P).4s""","=""a 5P""","=""2""","=""3d7.(4F).4p""","=""y 3F*""","=""3""",,"=""T2578n""","=""L11631""",
Fe,2,"=""5143.8745""","=""0.0003""","=""5143.87456""","=""0.00021""","=""900""","=""1.57e+07""",B+,"=""84266.594""","=""103701.778""","=""3d6.(5D).4d""","=""6P""","=""7/2""","=""3d6.(5D<2>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5144.3515""","=""0.0002""","=""5144.3515""","=""0.0003""","=""2700""","=""8.5e+07""",B+,"=""84424.422""","=""103857.804""","=""3d6.(5D).4d""","=""6P""","=""3/2""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""5144.6674""","=""0.0013""","=""5144.6685""","=""0.0004""","=""13""","=""""",,"=""21856.9287""","=""41289.1133""","=""3d5.(4P).4s""","=""a 5P""","=""1""","=""3d4.(5D).4s.4p.(1P*)""","=""y 5D*""","=""1""",,"=""""","=""L14866""",
Fe,2,"=""5144.745""","=""0.008""","=""5144.7383""","=""0.0003""","=""31""","=""8.e+05""",D+,"=""84266.594""","=""103698.515""","=""3d6.(5D).4d""","=""6P""","=""7/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""5145.0933""","=""0.0021""","=""5145.0939""","=""0.0004""","=""363""","=""6.70e+04""",D+,"=""17726.988""","=""37157.566""","=""3d7.(4P).4s""","=""a 5P""","=""2""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""2""",,"=""T5720""","=""L11631""",
Fe,2,"=""5145.488""","=""0.002""","=""5145.4874""","=""0.0006""","=""6""","=""""",,"=""108463.918""","=""127893.010""","=""3d6.(3G).4d""","=""4I""","=""13/2""","=""3d6.(3G<4>).4f""","=""2[7]*""","=""15/2""",,"=""""","=""L18349c139""",
Ti,2,"=""5145.6900""","=""0.0013""","=""5145.6911""","=""0.0005""","=""21""","=""""",,"=""43740.7678""","=""63169.0910""","=""3d2.(1G).4p""","=""y 2G*""","=""7/2""","=""3d2.(3F).5s""","=""e 2F""","=""5/2""",,"=""""","=""u37""",
Fe,2,"=""5145.7299""","=""0.0003""","=""5145.7306""","=""0.0004""","=""600""","=""7.7e+07""",C+,"=""83990.106""","=""103418.280""","=""3d6.(5D).4d""","=""6D""","=""3/2""","=""3d6.(5D<3>).4f""","=""2[0]*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5145.8220""","=""0.0003""","=""5145.8220""","=""0.0003""","=""800""","=""4.5e+07""",B+,"=""83990.106""","=""103417.935""","=""3d6.(5D).4d""","=""6D""","=""3/2""","=""3d6.(5D<3>).4f""","=""2[1]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
